Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 70.0.3538.110,test bikin suite,2019-01-03 13:39:13,2019-01-03 13:39:30,17.024s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-03 13:39:13,2019-01-03 13:39:30,16.621s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 13:39:14,2019-01-03 13:39:18,3.992s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-03 13:39:18,2019-01-03 13:39:22,4.387s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-03 13:39:22,2019-01-03 13:39:24,2.016s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-03 13:39:24,2019-01-03 13:39:25,1.323s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:39:25,2019-01-03 13:39:26,0.614s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 70.0.3538.110,,2019-01-03 13:39:26,2019-01-03 13:39:26,0.170s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-03 13:39:26,2019-01-03 13:39:26,0.265s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-03 13:39:26,2019-01-03 13:39:27,1.193s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-03 13:39:27,2019-01-03 13:39:28,0.126s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-03 13:39:28,2019-01-03 13:39:28,0.095s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-03 13:39:28,2019-01-03 13:39:28,0.114s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-03 13:39:28,2019-01-03 13:39:28,0.159s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:39:28,2019-01-03 13:39:29,0.542s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-03 13:39:29,2019-01-03 13:39:29,0.608s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-03 13:39:29,2019-01-03 13:39:30,0.711s,PASSED
