Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite 2,Chrome 70.0.3538.110,,2019-01-03 13:44:09,2019-01-03 13:44:27,17.259s,PASSED
,,,,,,
Test Cases/Basic,Chrome 70.0.3538.110,,2019-01-03 13:44:10,2019-01-03 13:44:27,16.861s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2019-01-03 13:44:10,2019-01-03 13:44:14,3.795s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 70.0.3538.110,,2019-01-03 13:44:14,2019-01-03 13:44:19,5.504s,PASSED
Thread.sleep(2000),Chrome 70.0.3538.110,,2019-01-03 13:44:19,2019-01-03 13:44:21,2.025s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2019-01-03 13:44:21,2019-01-03 13:44:23,1.222s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:44:23,2019-01-03 13:44:23,0.660s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 70.0.3538.110,,2019-01-03 13:44:23,2019-01-03 13:44:23,0.132s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 70.0.3538.110,,2019-01-03 13:44:23,2019-01-03 13:44:24,0.217s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 70.0.3538.110,,2019-01-03 13:44:24,2019-01-03 13:44:24,0.750s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/label_Apply for hospital readm""))",Chrome 70.0.3538.110,,2019-01-03 13:44:24,2019-01-03 13:44:25,0.145s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/div_Visit Date (Required)_inpu""))",Chrome 70.0.3538.110,,2019-01-03 13:44:25,2019-01-03 13:44:25,0.117s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/td_24""))",Chrome 70.0.3538.110,,2019-01-03 13:44:25,2019-01-03 13:44:25,0.067s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/textarea_Comment_comment""), ""thus is comment"")",Chrome 70.0.3538.110,,2019-01-03 13:44:25,2019-01-03 13:44:25,0.128s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 70.0.3538.110,,2019-01-03 13:44:25,2019-01-03 13:44:25,0.497s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 70.0.3538.110,,2019-01-03 13:44:25,2019-01-03 13:44:26,0.573s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2019-01-03 13:44:26,2019-01-03 13:44:27,0.680s,PASSED
